Gemma Chan
Tessa Thompson
Brie Larson
Scarlett Johansson
Elizabeth Olsen
Evangeline Lilly
Natalie Portman
Zoe Saldaña
Karen Gillan
Jaimie Alexander
Pom Klementieff
Marisa Tomei
Hayley Atwell
Zendaya
Lupita Nyong'o
Rachel McAdams
Cobie Smulders
Liv Tyler
Kat Dennings
Gwyneth Paltrow
Emily VanCamp
Chloe Bennet
Krysten Ritter
Simone Missick
Ming-Na Wen
Jessica Henwick
Rosario Dawson
Serinda Swan
Adrianne Palicki
Rachael Taylor
Danai Gurira
Elodie Yung
Deborah Ann Woll
Elizabeth Henstridge
Angourie Rice
Leslie Bibb
Tilda Swinton
Glenn Close
Letitia Wright
Teyonah Parris
Florence Pugh
Halle Berry
Hannah John-Kamen
Cate Blanchett
Linda Cardellini
Iman Vellani
Michelle Pfeiffer
Laura Harrier
Elizabeth Debicki
Angela Bassett
Débora Nascimento
